Source	Target	MI	InteractionType	RowNumber
ENSG00000090534	ENSG00000090539	0.590860090413817	Intra-Cytoband	42
ENSG00000166927	ENSG00000166928	0.589354642401762	Intra-Cytoband	43
ENSG00000213903	ENSG00000213906	0.588096963023067	Intra-Cytoband	44
ENSG00000174175	ENSG00000213088	0.587918743479773	Inter-Cytoband	45
ENSG00000104221	ENSG00000129691	0.587430450909934	Intra-Cytoband	46
ENSG00000078668	ENSG00000083168	0.587401472122406	Intra-Cytoband	47
ENSG00000187583	ENSG00000187642	0.584935377303814	Intra-Cytoband	48
ENSG00000129691	ENSG00000147471	0.584009505042309	Intra-Cytoband	49
ENSG00000120738	ENSG00000170345	0.582404080213284	Trans	50
ENSG00000104221	ENSG00000156735	0.579769908427031	Intra-Cytoband	51
ENSG00000167721	ENSG00000171861	0.578345601020053	Intra-Cytoband	52
ENSG00000107099	ENSG00000183784	0.577074881186971	Intra-Cytoband	53
ENSG00000144645	ENSG00000197385	0.568947780224875	Inter-Cytoband	54
ENSG00000146476	ENSG00000155906	0.568471079170048	Intra-Cytoband	55
ENSG00000131748	ENSG00000161395	0.56617885707662	Intra-Cytoband	56
ENSG00000104660	ENSG00000104671	0.565976005563927	Intra-Cytoband	57
ENSG00000171861	ENSG00000177370	0.563250550596963	Intra-Cytoband	58
ENSG00000142507	ENSG00000171861	0.561479946679031	Inter-Cytoband	59
ENSG00000147457	ENSG00000158941	0.561187260925003	Intra-Cytoband	60
ENSG00000132382	ENSG00000141456	0.556243479772806	Intra-Cytoband	61
ENSG00000147316	ENSG00000173273	0.555784165990495	Intra-Cytoband	62
ENSG00000130227	ENSG00000173273	0.555578416599049	Inter-Cytoband	63
ENSG00000085788	ENSG00000156735	0.554581546308102	Intra-Cytoband	64
ENSG00000078668	ENSG00000176209	0.553948359800626	Intra-Cytoband	65
ENSG00000158941	ENSG00000198791	0.553648429349716	Inter-Cytoband	66
ENSG00000130227	ENSG00000158941	0.551714095282253	Intra-Cytoband	67
ENSG00000070501	ENSG00000104365	0.550956299988408	Intra-Cytoband	68
ENSG00000132382	ENSG00000167721	0.548524979714849	Inter-Cytoband	69
ENSG00000167721	ENSG00000177370	0.547361481395618	Intra-Cytoband	70
ENSG00000133142	ENSG00000196507	0.546922452764576	Intra-Cytoband	71
ENSG00000085788	ENSG00000147535	0.543581198562652	Intra-Cytoband	72
ENSG00000147471	ENSG00000175324	0.541233916772922	Intra-Cytoband	73
ENSG00000016391	ENSG00000056736	0.539412599976817	Intra-Cytoband	74
ENSG00000013583	ENSG00000084444	0.535451199721804	Intra-Cytoband	75
ENSG00000142875	ENSG00000203943	0.534670221397937	Intra-Cytoband	76
ENSG00000085788	ENSG00000175324	0.532702561724817	Intra-Cytoband	77
ENSG00000120696	ENSG00000165572	0.531071055987018	Intra-Cytoband	78
ENSG00000173273	ENSG00000198791	0.530235017966848	Inter-Cytoband	79
ENSG00000168078	ENSG00000171320	0.529365654341022	Intra-Cytoband	80
ENSG00000142507	ENSG00000167721	0.529213515706503	Inter-Cytoband	81
ENSG00000130177	ENSG00000139842	0.529030949345079	Intra-Cytoband	82
ENSG00000134759	ENSG00000141424	0.528655674046598	Intra-Cytoband	83
ENSG00000134321	ENSG00000134326	0.527693578300684	Intra-Cytoband	84
ENSG00000171861	ENSG00000179409	0.527657354816275	Intra-Cytoband	85
ENSG00000104695	ENSG00000197265	0.526792338008578	Intra-Cytoband	86
ENSG00000137804	ENSG00000156970	0.526498203315173	Intra-Cytoband	87
ENSG00000147316	ENSG00000198791	0.523711892894401	Inter-Cytoband	88
ENSG00000069329	ENSG00000069345	0.521765967311928	Intra-Cytoband	89
ENSG00000141456	ENSG00000167721	0.520902399443607	Inter-Cytoband	90
ENSG00000141933	ENSG00000213638	0.515328329662687	Intra-Cytoband	91
ENSG00000172236	ENSG00000197253	0.51531094239017	Intra-Cytoband	92
ENSG00000196126	ENSG00000196735	0.51493132027356	Intra-Cytoband	93
ENSG00000130227	ENSG00000155975	0.514443027703721	Inter-Cytoband	94
ENSG00000157214	ENSG00000164647	0.513772168772459	Intra-Cytoband	95
ENSG00000149534	ENSG00000163751	0.513017271357366	Trans	96
ENSG00000028203	ENSG00000180263	0.511406050770836	Intra-Cytoband	97
ENSG00000005100	ENSG00000072849	0.511272748348209	Intra-Cytoband	98
ENSG00000129696	ENSG00000198042	0.510467138054944	Intra-Cytoband	99
ENSG00000131626	ENSG00000168040	0.508768981105831	Intra-Cytoband	100
ENSG00000108528	ENSG00000142507	0.508416888837371	Intra-Cytoband	101
ENSG00000147439	ENSG00000158941	0.508277790657239	Intra-Cytoband	102
ENSG00000104221	ENSG00000147475	0.503554248290252	Intra-Cytoband	103
ENSG00000108518	ENSG00000142507	0.502374811637881	Intra-Cytoband	104
ENSG00000028116	ENSG00000115392	0.501357656195665	Intra-Cytoband	105
ENSG00000129235	ENSG00000142507	0.500379622116611	Inter-Cytoband	106
ENSG00000127804	ENSG00000174231	0.499492871218268	Intra-Cytoband	107
ENSG00000167721	ENSG00000179409	0.499304509099339	Intra-Cytoband	108
ENSG00000187837	ENSG00000197903	0.498062768053785	Inter-Cytoband	109
ENSG00000155975	ENSG00000173273	0.497677350179668	Inter-Cytoband	110
ENSG00000177302	ENSG00000177427	0.497225281094239	Intra-Cytoband	111
ENSG00000011465	ENSG00000139329	0.49650515822418	Intra-Cytoband	112
ENSG00000007168	ENSG00000132383	0.494702677639968	Intra-Cytoband	113
ENSG00000126226	ENSG00000139842	0.494538947490437	Intra-Cytoband	114
ENSG00000103253	ENSG00000162004	0.49097890344268	Intra-Cytoband	115
ENSG00000143546	ENSG00000163220	0.490561608902284	Intra-Cytoband	116
ENSG00000083168	ENSG00000147533	0.490239944360728	Intra-Cytoband	117
ENSG00000131748	ENSG00000141741	0.489977686333604	Intra-Cytoband	118
ENSG00000104679	ENSG00000158941	0.488475136200301	Intra-Cytoband	119
ENSG00000147471	ENSG00000156735	0.487901356207256	Intra-Cytoband	120
ENSG00000104643	ENSG00000173273	0.487491306363742	Intra-Cytoband	121
ENSG00000178935	ENSG00000198466	0.487410165758665	Intra-Cytoband	122
ENSG00000130227	ENSG00000147316	0.487155152428422	Inter-Cytoband	123
ENSG00000085415	ENSG00000141385	0.486423438043352	Intra-Cytoband	124
ENSG00000109016	ENSG00000178307	0.486006143502956	Intra-Cytoband	125
ENSG00000104299	ENSG00000130227	0.484629651095398	Inter-Cytoband	126
ENSG00000117984	ENSG00000244242	0.484415208067694	Intra-Cytoband	127
ENSG00000120075	ENSG00000120093	0.484206560797496	Intra-Cytoband	128
ENSG00000157326	ENSG00000187630	0.483916772922221	Intra-Cytoband	129
ENSG00000128709	ENSG00000128710	0.483631331865075	Intra-Cytoband	130
ENSG00000114654	ENSG00000114656	0.483083632780804	Intra-Cytoband	131
ENSG00000224389	ENSG00000244731	0.482635910513504	Intra-Cytoband	132
ENSG00000104299	ENSG00000147421	0.481575286889997	Intra-Cytoband	133
ENSG00000141030	ENSG00000141127	0.481572389011244	Intra-Cytoband	134
ENSG00000131626	ENSG00000149716	0.481494146284919	Intra-Cytoband	135
ENSG00000168014	ENSG00000214517	0.481401414164831	Intra-Cytoband	136
ENSG00000142507	ENSG00000170043	0.481279703257216	Inter-Cytoband	137
ENSG00000005100	ENSG00000171861	0.481100034774545	Inter-Cytoband	138
ENSG00000141456	ENSG00000171861	0.480978323866929	Inter-Cytoband	139
ENSG00000078668	ENSG00000104365	0.479940883273444	Intra-Cytoband	140
ENSG00000005100	ENSG00000142507	0.479516344036165	Intra-Cytoband	141
ENSG00000180592	ENSG00000204682	0.479490263127391	Intra-Cytoband	142
ENSG00000167699	ENSG00000167721	0.478418047988872	Intra-Cytoband	143
ENSG00000275302	ENSG00000277632	0.478218094354932	Intra-Cytoband	144
ENSG00000173917	ENSG00000182742	0.477977570418454	Intra-Cytoband	145
ENSG00000149716	ENSG00000168040	0.477973223600325	Intra-Cytoband	146
ENSG00000147471	ENSG00000147548	0.476980700127507	Intra-Cytoband	147
ENSG00000158863	ENSG00000173273	0.476566303465863	Inter-Cytoband	148
ENSG00000001561	ENSG00000112796	0.474755129245392	Intra-Cytoband	149
ENSG00000048649	ENSG00000149262	0.47451605424829	Intra-Cytoband	150
ENSG00000150687	ENSG00000151376	0.474376956068158	Intra-Cytoband	151
ENSG00000006744	ENSG00000171861	0.474276979251188	Inter-Cytoband	152
ENSG00000141456	ENSG00000142507	0.474075576677872	Intra-Cytoband	153
ENSG00000196793	ENSG00000198298	0.473959661527762	Intra-Cytoband	154
ENSG00000186522	ENSG00000198142	0.473935029558363	Intra-Cytoband	155
ENSG00000115541	ENSG00000144381	0.473898806073954	Intra-Cytoband	156
ENSG00000132383	ENSG00000167721	0.473267068505854	Intra-Cytoband	157
ENSG00000155975	ENSG00000158941	0.471502260345427	Inter-Cytoband	158
ENSG00000151366	ENSG00000159063	0.470396719601252	Intra-Cytoband	159
ENSG00000129691	ENSG00000187840	0.469418685522198	Intra-Cytoband	160
ENSG00000140993	ENSG00000162086	0.468939086588617	Intra-Cytoband	161
ENSG00000134590	ENSG00000203950	0.468870986437927	Intra-Cytoband	162
ENSG00000176994	ENSG00000177302	0.468862292801669	Intra-Cytoband	163
ENSG00000165102	ENSG00000168522	0.468728990379043	Intra-Cytoband	164
ENSG00000140254	ENSG00000140279	0.468531934623855	Intra-Cytoband	165
ENSG00000159202	ENSG00000159210	0.467877014025733	Intra-Cytoband	166
ENSG00000104299	ENSG00000158941	0.467704590239944	Inter-Cytoband	167
ENSG00000187837	ENSG00000276180	0.467629245392373	Inter-Cytoband	168
ENSG00000198743	ENSG00000243927	0.467333661759592	Intra-Cytoband	169
ENSG00000120075	ENSG00000182742	0.466835226614118	Intra-Cytoband	170
ENSG00000171827	ENSG00000196437	0.466213631621653	Intra-Cytoband	171
ENSG00000180573	ENSG00000197903	0.466120899501565	Inter-Cytoband	172
ENSG00000083168	ENSG00000176209	0.464544453460067	Intra-Cytoband	173
ENSG00000141030	ENSG00000171953	0.46399965225455	Intra-Cytoband	174
ENSG00000166747	ENSG00000182149	0.463869247710676	Intra-Cytoband	175
ENSG00000171953	ENSG00000177427	0.463791004984351	Intra-Cytoband	176
ENSG00000085733	ENSG00000168040	0.463292569838878	Intra-Cytoband	177
ENSG00000108561	ENSG00000142507	0.463078126811174	Intra-Cytoband	178
ENSG00000104687	ENSG00000104695	0.463024516054248	Intra-Cytoband	179
ENSG00000074356	ENSG00000141456	0.46283180711719	Intra-Cytoband	180
ENSG00000083290	ENSG00000108599	0.462657934392025	Intra-Cytoband	181
ENSG00000147316	ENSG00000158941	0.462130520459024	Inter-Cytoband	182
ENSG00000167193	ENSG00000171861	0.461927668946331	Intra-Cytoband	183
ENSG00000196867	ENSG00000197016	0.461285788802597	Intra-Cytoband	184
ENSG00000165392	ENSG00000197265	0.461004694563579	Intra-Cytoband	185
ENSG00000111666	ENSG00000139351	0.460891677292222	Intra-Cytoband	186
ENSG00000158863	ENSG00000158941	0.460885881534717	Intra-Cytoband	187
ENSG00000130227	ENSG00000158863	0.460388895328619	Intra-Cytoband	188
ENSG00000013375	ENSG00000013392	0.460013620030138	Intra-Cytoband	189
ENSG00000119917	ENSG00000134321	0.459942622000695	Trans	190
ENSG00000142102	ENSG00000174885	0.459883215486264	Intra-Cytoband	191
ENSG00000131748	ENSG00000141736	0.459633997913527	Intra-Cytoband	192
ENSG00000170677	ENSG00000176225	0.459570244580967	Intra-Cytoband	193
ENSG00000132507	ENSG00000167721	0.459412310188942	Inter-Cytoband	194
ENSG00000129691	ENSG00000147535	0.458555987017503	Intra-Cytoband	195
ENSG00000104679	ENSG00000198791	0.45827344383911	Inter-Cytoband	196
ENSG00000085788	ENSG00000104221	0.457976411266953	Intra-Cytoband	197
ENSG00000142507	ENSG00000161920	0.45777355975426	Intra-Cytoband	198
ENSG00000132382	ENSG00000171861	0.457753274602991	Inter-Cytoband	199
ENSG00000172465	ENSG00000196507	0.457538831575287	Intra-Cytoband	200
ENSG00000160888	ENSG00000171223	0.456999826127275	Intra-Cytoband	201
ENSG00000171202	ENSG00000171204	0.456728874463892	Intra-Cytoband	202
ENSG00000104221	ENSG00000147548	0.456476759012403	Intra-Cytoband	203
ENSG00000132383	ENSG00000171861	0.456133360380202	Intra-Cytoband	204
ENSG00000108963	ENSG00000167721	0.456062362350759	Intra-Cytoband	205
ENSG00000120451	ENSG00000196323	0.455940651443144	Inter-Cytoband	206
ENSG00000104660	ENSG00000133872	0.4558942853831	Intra-Cytoband	207
ENSG00000147535	ENSG00000156735	0.455371218268228	Intra-Cytoband	208
ENSG00000141499	ENSG00000170291	0.455216181754955	Intra-Cytoband	209
ENSG00000158941	ENSG00000173273	0.454464182218616	Inter-Cytoband	210
ENSG00000196136	ENSG00000273259	0.453635388895329	Intra-Cytoband	211
ENSG00000108953	ENSG00000167721	0.453377477686334	Intra-Cytoband	212
ENSG00000104626	ENSG00000173273	0.45321084965805	Intra-Cytoband	213
ENSG00000116824	ENSG00000198851	0.452383505274139	Trans	214
ENSG00000146587	ENSG00000164631	0.452198041033963	Intra-Cytoband	215
ENSG00000104299	ENSG00000147457	0.4520792280051	Inter-Cytoband	216
ENSG00000197619	ENSG00000256683	0.452074881186971	Intra-Cytoband	217
ENSG00000108528	ENSG00000141456	0.452060391793207	Intra-Cytoband	218
ENSG00000185829	ENSG00000238083	0.451908253158688	Intra-Cytoband	219
ENSG00000104299	ENSG00000198791	0.451477918163904	Inter-Cytoband	220
ENSG00000108528	ENSG00000132382	0.450595514083691	Intra-Cytoband	221
ENSG00000147535	ENSG00000147548	0.450188362118929	Intra-Cytoband	222
ENSG00000120327	ENSG00000187372	0.450033325605657	Intra-Cytoband	223
ENSG00000074356	ENSG00000142507	0.449475483945752	Intra-Cytoband	224
ENSG00000137804	ENSG00000157456	0.448519183957343	Inter-Cytoband	225
ENSG00000167524	ENSG00000258472	0.448507592442332	Intra-Cytoband	226
ENSG00000180573	ENSG00000276180	0.44826851744523	Inter-Cytoband	227
ENSG00000144283	ENSG00000153237	0.447416541091921	Intra-Cytoband	228
ENSG00000139182	ENSG00000139194	0.446745682160658	Intra-Cytoband	229
ENSG00000104679	ENSG00000147457	0.446486322012287	Intra-Cytoband	230
ENSG00000214274	ENSG00000258818	0.446384896255941	Intra-Cytoband	231
ENSG00000167721	ENSG00000185722	0.445924133534253	Inter-Cytoband	232
ENSG00000141741	ENSG00000161395	0.445499594296975	Intra-Cytoband	233
ENSG00000176024	ENSG00000256683	0.445035933696534	Intra-Cytoband	234
ENSG00000006744	ENSG00000167721	0.444279587342066	Inter-Cytoband	235
ENSG00000129255	ENSG00000161956	0.443917352497971	Intra-Cytoband	236
ENSG00000129691	ENSG00000147475	0.44389416946795	Intra-Cytoband	237
ENSG00000087263	ENSG00000167005	0.44367393068274	Intra-Cytoband	238
ENSG00000072849	ENSG00000167842	0.443662339167729	Intra-Cytoband	239
ENSG00000102401	ENSG00000198960	0.443411672655616	Intra-Cytoband	240
ENSG00000147439	ENSG00000241852	0.44317839341602	Intra-Cytoband	241
ENSG00000138161	ENSG00000213185	0.443071171902168	Intra-Cytoband	242
ENSG00000104613	ENSG00000130227	0.443040744175264	Intra-Cytoband	243
ENSG00000198865	ENSG00000250722	0.442891503419497	Intra-Cytoband	244
ENSG00000108511	ENSG00000182742	0.442813260693173	Intra-Cytoband	245
ENSG00000204257	ENSG00000242574	0.442067056914339	Intra-Cytoband	246
ENSG00000083168	ENSG00000168575	0.441664251767706	Intra-Cytoband	247
ENSG00000178201	ENSG00000197128	0.441477338588154	Intra-Cytoband	248
ENSG00000198791	ENSG00000221914	0.441151327228469	Inter-Cytoband	249
ENSG00000078674	ENSG00000130227	0.440718094354932	Inter-Cytoband	250
ENSG00000085733	ENSG00000149716	0.440644198446737	Intra-Cytoband	251
ENSG00000132383	ENSG00000174231	0.44044714269155	Intra-Cytoband	252
ENSG00000114529	ENSG00000172139	0.439882056334763	Intra-Cytoband	253
ENSG00000108528	ENSG00000185722	0.439729917700243	Intra-Cytoband	254
ENSG00000132361	ENSG00000167721	0.439338704068622	Intra-Cytoband	255
ENSG00000119917	ENSG00000119922	0.438986611800162	Intra-Cytoband	256
ENSG00000138496	ENSG00000163840	0.43877941346934	Intra-Cytoband	257
ENSG00000006744	ENSG00000142507	0.438608438622928	Inter-Cytoband	258
ENSG00000078674	ENSG00000198791	0.43847948301843	Intra-Cytoband	259
ENSG00000005100	ENSG00000179409	0.437817317723426	Inter-Cytoband	260
ENSG00000147439	ENSG00000198791	0.437404370001159	Inter-Cytoband	261
ENSG00000078668	ENSG00000168575	0.437342065607975	Intra-Cytoband	262
ENSG00000132382	ENSG00000142507	0.437085603338356	Intra-Cytoband	263
ENSG00000121413	ENSG00000176293	0.436965341370117	Intra-Cytoband	264
ENSG00000065559	ENSG00000154957	0.436888547583169	Intra-Cytoband	265
ENSG00000006744	ENSG00000108561	0.436811753796221	Inter-Cytoband	266
ENSG00000108518	ENSG00000167721	0.436362582589544	Inter-Cytoband	267
ENSG00000108963	ENSG00000174231	0.436055407441753	Intra-Cytoband	268
ENSG00000079134	ENSG00000101557	0.436035122290483	Intra-Cytoband	269
ENSG00000147457	ENSG00000168495	0.435978613654805	Intra-Cytoband	270
ENSG00000085788	ENSG00000147471	0.435257041845369	Intra-Cytoband	271
ENSG00000074201	ENSG00000149262	0.434683261852324	Intra-Cytoband	272
ENSG00000120129	ENSG00000170345	0.434610814883505	Trans	273
ENSG00000167699	ENSG00000179409	0.434367393068274	Intra-Cytoband	274
ENSG00000123562	ENSG00000172465	0.434029790193578	Intra-Cytoband	275
ENSG00000074356	ENSG00000171861	0.433879100498435	Inter-Cytoband	276
ENSG00000087191	ENSG00000108592	0.432696765967312	Intra-Cytoband	277
ENSG00000165406	ENSG00000172671	0.43267358293729	Intra-Cytoband	278
ENSG00000129245	ENSG00000142507	0.431275356439087	Inter-Cytoband	279
ENSG00000132507	ENSG00000142507	0.430629129477223	Inter-Cytoband	280
ENSG00000168014	ENSG00000181924	0.430624782659094	Intra-Cytoband	281
ENSG00000005100	ENSG00000133028	0.430584212356555	Inter-Cytoband	282
ENSG00000108591	ENSG00000171953	0.429977106757853	Intra-Cytoband	283
ENSG00000147457	ENSG00000198791	0.429707604033847	Inter-Cytoband	284
ENSG00000100104	ENSG00000100109	0.429451141764229	Intra-Cytoband	285
ENSG00000104365	ENSG00000176209	0.428887504346818	Intra-Cytoband	286
ENSG00000142507	ENSG00000170291	0.428807812681117	Inter-Cytoband	287
ENSG00000008838	ENSG00000108344	0.428471658745798	Intra-Cytoband	288
ENSG00000170037	ENSG00000170043	0.428412252231367	Intra-Cytoband	289
ENSG00000177370	ENSG00000179409	0.428376028746957	Intra-Cytoband	290
ENSG00000006744	ENSG00000133028	0.42822678799119	Inter-Cytoband	291
ENSG00000125304	ENSG00000134882	0.426751767706039	Intra-Cytoband	292
ENSG00000104671	ENSG00000133872	0.426730033615394	Intra-Cytoband	293
ENSG00000005100	ENSG00000141456	0.426698156949113	Intra-Cytoband	294
ENSG00000005100	ENSG00000074356	0.42639967543758	Intra-Cytoband	295
ENSG00000142507	ENSG00000167699	0.426351860438159	Inter-Cytoband	296
ENSG00000108559	ENSG00000129197	0.426257679378695	Intra-Cytoband	297
ENSG00000108953	ENSG00000171861	0.426218558015533	Intra-Cytoband	298
ENSG00000119541	ENSG00000134440	0.426111336501681	Inter-Cytoband	299
ENSG00000104714	ENSG00000147364	0.426089602411035	Intra-Cytoband	300
ENSG00000128789	ENSG00000141385	0.42597948301843	Intra-Cytoband	301
ENSG00000108511	ENSG00000120093	0.425336153935319	Intra-Cytoband	302
ENSG00000141933	ENSG00000175602	0.425189811058305	Trans	303
ENSG00000141030	ENSG00000177427	0.425185464240176	Intra-Cytoband	304
ENSG00000149262	ENSG00000159063	0.424898574243654	Intra-Cytoband	305
ENSG00000141258	ENSG00000167721	0.424688478034079	Intra-Cytoband	306
ENSG00000108518	ENSG00000170043	0.424656601367799	Inter-Cytoband	307
ENSG00000091542	ENSG00000141127	0.424388547583169	Intra-Cytoband	308
ENSG00000156970	ENSG00000157456	0.424217572736757	Inter-Cytoband	309
ENSG00000142507	ENSG00000177370	0.42383650168077	Inter-Cytoband	310
ENSG00000160087	ENSG00000162585	0.423781441984467	Intra-Cytoband	311
ENSG00000184988	ENSG00000236383	0.42372058653066	Intra-Cytoband	312
ENSG00000112685	ENSG00000188996	0.423694505621885	Intra-Cytoband	313
ENSG00000129245	ENSG00000129255	0.423555407441753	Intra-Cytoband	314
ENSG00000185869	ENSG00000198453	0.423085951083807	Intra-Cytoband	315
ENSG00000168556	ENSG00000182552	0.422822244117306	Intra-Cytoband	316
ENSG00000151117	ENSG00000179057	0.422515068969514	Intra-Cytoband	317
ENSG00000048649	ENSG00000151366	0.422370175031877	Intra-Cytoband	318
ENSG00000196263	ENSG00000198046	0.422258606699896	Intra-Cytoband	319
ENSG00000048649	ENSG00000087884	0.422139793671033	Intra-Cytoband	320
ENSG00000108523	ENSG00000108528	0.421974614582126	Intra-Cytoband	321
ENSG00000005100	ENSG00000129197	0.421855801553263	Intra-Cytoband	322
ENSG00000130177	ENSG00000169062	0.421554422162977	Intra-Cytoband	323
ENSG00000104689	ENSG00000147457	0.421122638228817	Intra-Cytoband	324
ENSG00000108591	ENSG00000141034	0.42105743595688	Intra-Cytoband	325
ENSG00000156735	ENSG00000187840	0.420459023994436	Intra-Cytoband	326
ENSG00000126226	ENSG00000130177	0.42045757505506	Intra-Cytoband	327
ENSG00000100099	ENSG00000100104	0.420419902631274	Intra-Cytoband	328
ENSG00000168522	ENSG00000176209	0.42037353657123	Intra-Cytoband	329
ENSG00000108953	ENSG00000177370	0.420015648545265	Intra-Cytoband	330
ENSG00000104613	ENSG00000158941	0.419612843398632	Intra-Cytoband	331
ENSG00000083168	ENSG00000104365	0.418947780224875	Intra-Cytoband	332
ENSG00000167074	ENSG00000174738	0.418624666743943	Trans	333
ENSG00000159314	ENSG00000225190	0.418146516749739	Intra-Cytoband	334
ENSG00000006744	ENSG00000132507	0.417830647965689	Inter-Cytoband	335
ENSG00000157601	ENSG00000187608	0.417729222209343	Trans	336
ENSG00000168538	ENSG00000182552	0.417545206908543	Intra-Cytoband	337
ENSG00000072134	ENSG00000108599	0.417493045090993	Intra-Cytoband	338
ENSG00000171861	ENSG00000185722	0.417390170395271	Inter-Cytoband	339
ENSG00000147316	ENSG00000168495	0.417265561608902	Inter-Cytoband	340
ENSG00000005100	ENSG00000167721	0.416854062826011	Inter-Cytoband	341
ENSG00000152467	ENSG00000176293	0.416681639040223	Intra-Cytoband	342
ENSG00000070019	ENSG00000121316	0.416532398284456	Inter-Cytoband	343
ENSG00000120324	ENSG00000177839	0.41652660252695	Intra-Cytoband	344
ENSG00000123836	ENSG00000180667	0.416444012982497	Intra-Cytoband	345
ENSG00000141030	ENSG00000177302	0.416125246319694	Intra-Cytoband	346
ENSG00000167699	ENSG00000174231	0.416018024805842	Intra-Cytoband	347
ENSG00000151465	ENSG00000165609	0.415773154051234	Intra-Cytoband	348
ENSG00000175324	ENSG00000187840	0.415689115567405	Intra-Cytoband	349
ENSG00000167193	ENSG00000167699	0.415286310420772	Intra-Cytoband	350
ENSG00000112110	ENSG00000120438	0.414989277848615	Intra-Cytoband	351
ENSG00000005100	ENSG00000170037	0.414966094818593	Inter-Cytoband	352
ENSG00000078668	ENSG00000147533	0.41487915845601	Intra-Cytoband	353
ENSG00000091164	ENSG00000152242	0.414770488002782	Inter-Cytoband	354
ENSG00000131115	ENSG00000256294	0.414435783006839	Intra-Cytoband	355
ENSG00000108528	ENSG00000167721	0.414369131795526	Inter-Cytoband	356
ENSG00000108963	ENSG00000132382	0.414338704068622	Inter-Cytoband	357
ENSG00000141252	ENSG00000179409	0.414332908311116	Intra-Cytoband	358
ENSG00000108561	ENSG00000167721	0.414328561492987	Inter-Cytoband	359
ENSG00000171861	ENSG00000186532	0.413889532861945	Intra-Cytoband	360
ENSG00000249158	ENSG00000251664	0.413837371044395	Intra-Cytoband	361
ENSG00000070413	ENSG00000185651	0.413595398168541	Intra-Cytoband	362
ENSG00000104687	ENSG00000197265	0.413438912715892	Intra-Cytoband	363
ENSG00000168575	ENSG00000176209	0.413396893473977	Intra-Cytoband	364
ENSG00000133028	ENSG00000171861	0.413375159383331	Inter-Cytoband	365
ENSG00000102606	ENSG00000126216	0.41336791468645	Intra-Cytoband	366
ENSG00000108953	ENSG00000142507	0.413049148023647	Inter-Cytoband	367
ENSG00000130227	ENSG00000221914	0.412850643329083	Inter-Cytoband	368
