Source	Target	MI	InteractionType	RowNumber
ENSG00000198929	ENSG00000239887	1	Intra-Cytoband	1
ENSG00000002933	ENSG00000106565	0.984606468065376	Intra-Cytoband	2
ENSG00000197903	ENSG00000276180	0.928280398748116	Intra-Cytoband	3
ENSG00000162892	ENSG00000162894	0.864960299061087	Intra-Cytoband	4
ENSG00000181218	ENSG00000196890	0.862640547119509	Intra-Cytoband	5
ENSG00000108511	ENSG00000120075	0.851177987712994	Intra-Cytoband	6
ENSG00000170561	ENSG00000186493	0.792992929175843	Intra-Cytoband	7
ENSG00000173369	ENSG00000173372	0.746587747768633	Intra-Cytoband	8
ENSG00000120093	ENSG00000173917	0.728980236466906	Intra-Cytoband	9
ENSG00000129691	ENSG00000175324	0.706837544917121	Intra-Cytoband	10
ENSG00000129691	ENSG00000147548	0.696171902167613	Intra-Cytoband	11
ENSG00000120093	ENSG00000182742	0.687743421815231	Intra-Cytoband	12
ENSG00000085733	ENSG00000131626	0.682031702793555	Intra-Cytoband	13
ENSG00000162722	ENSG00000238243	0.67576359105135	Intra-Cytoband	14
ENSG00000176681	ENSG00000228696	0.661175669409992	Intra-Cytoband	15
ENSG00000159189	ENSG00000173369	0.66098440941231	Intra-Cytoband	16
ENSG00000133142	ENSG00000172465	0.658932711255361	Intra-Cytoband	17
ENSG00000134871	ENSG00000187498	0.658822591862756	Intra-Cytoband	18
ENSG00000104221	ENSG00000147471	0.651838704068622	Intra-Cytoband	19
ENSG00000167699	ENSG00000177370	0.649290019705576	Intra-Cytoband	20
ENSG00000107371	ENSG00000122741	0.64891619334647	Intra-Cytoband	21
ENSG00000129691	ENSG00000156735	0.648193172597659	Intra-Cytoband	22
ENSG00000048649	ENSG00000074201	0.646374753680306	Intra-Cytoband	23
ENSG00000159189	ENSG00000173372	0.63588443259534	Intra-Cytoband	24
ENSG00000147548	ENSG00000175324	0.634499246551524	Intra-Cytoband	25
ENSG00000105523	ENSG00000177202	0.633386461110467	Intra-Cytoband	26
ENSG00000104221	ENSG00000175324	0.629023704648197	Intra-Cytoband	27
ENSG00000155975	ENSG00000198791	0.623413411382868	Intra-Cytoband	28
ENSG00000161551	ENSG00000198093	0.620525675205749	Intra-Cytoband	29
ENSG00000223572	ENSG00000237289	0.620230091572969	Intra-Cytoband	30
ENSG00000147548	ENSG00000156735	0.618150863567868	Intra-Cytoband	31
ENSG00000156735	ENSG00000175324	0.61381563695375	Intra-Cytoband	32
ENSG00000130227	ENSG00000198791	0.613118697113713	Inter-Cytoband	33
ENSG00000085788	ENSG00000147548	0.610099107453344	Intra-Cytoband	34
ENSG00000167699	ENSG00000171861	0.608209690506549	Intra-Cytoband	35
ENSG00000114529	ENSG00000174500	0.607188188246204	Intra-Cytoband	36
ENSG00000147471	ENSG00000147475	0.603736814651675	Intra-Cytoband	37
ENSG00000085788	ENSG00000129691	0.599224817433639	Intra-Cytoband	38
ENSG00000144649	ENSG00000273291	0.598055523356903	Intra-Cytoband	39
ENSG00000188086	ENSG00000206549	0.59297409296395	Intra-Cytoband	40
ENSG00000125686	ENSG00000167258	0.591149878289092	Intra-Cytoband	41
